Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
6253,31,Male,Divorced,Marketing,Assistant,3,13410,89,9,9,0,1,5,1,24,Yes,9,32,18,4,3,1,34,4,No
4685,25,Male,Divorced,HR,Analyst,3,11034,66,12,10,5,1,4,4,9,No,2,58,18,1,4,1,23,1,Yes
1732,50,Female,Divorced,IT,Assistant,5,18595,56,24,9,4,3,4,1,18,Yes,2,42,4,4,4,4,39,3,Yes
4743,36,Male,Divorced,Sales,Executive,4,13160,65,17,4,4,1,3,3,28,Yes,1,41,3,4,4,4,39,4,Yes
4522,43,Female,Married,Finance,Analyst,5,14131,44,16,10,5,3,1,1,30,No,7,48,5,2,1,1,1,4,Yes
6341,59,Female,Married,Finance,Assistant,5,11820,69,22,1,2,4,2,4,56,No,4,44,15,3,1,4,2,3,No
577,54,Female,Married,Sales,Assistant,3,9720,54,13,1,7,1,1,1,95,Yes,8,30,15,2,3,2,9,3,No
5203,27,Female,Married,IT,Analyst,4,14399,84,6,13,3,1,1,3,56,No,2,55,10,1,3,1,37,1,Yes
6364,45,Male,Married,IT,Executive,2,3688,74,21,11,4,3,3,4,65,Yes,1,46,5,2,2,4,18,1,No
440,20,Female,Married,HR,Executive,1,4656,43,21,9,1,3,2,4,20,No,1,58,8,3,1,2,23,2,No
2751,37,Male,Married,Sales,Analyst,1,4308,46,5,8,6,3,2,3,93,No,7,42,3,2,4,1,38,2,No
7488,31,Male,Divorced,IT,Manager,1,19315,77,27,6,0,1,3,4,38,Yes,5,32,19,1,1,3,38,3,Yes
5273,47,Male,Divorced,HR,Assistant,2,17235,78,9,8,5,3,3,2,70,No,2,40,5,1,3,2,40,2,No
5654,29,Female,Single,Marketing,Executive,4,6946,98,8,3,6,4,4,3,71,Yes,4,43,11,1,1,1,9,2,No
4000,22,Female,Single,Marketing,Assistant,1,15618,75,3,8,5,1,5,3,90,No,1,39,13,2,2,1,4,4,No
